game_id,round,team_region,team_seed,opp_region,opp_seed
r2_r4_g01,Round 2,Region 4,1,Region 4,9
r2_r4_g01,Round 2,Region 4,16,Region 4,8
r2_r4_g01,Round 2,Region 4,16,Region 4,9
r2_r4_g02,Round 2,Region 4,2,Region 4,7
r2_r4_g02,Round 2,Region 4,2,Region 4,10
r2_r4_g02,Round 2,Region 4,15,Region 4,7
r2_r4_g02,Round 2,Region 4,15,Region 4,10
r2_r4_g03,Round 2,Region 4,3,Region 4,6
r2_r4_g03,Round 2,Region 4,3,Region 4,11
r2_r4_g03,Round 2,Region 4,14,Region 4,6
r2_r4_g03,Round 2,Region 4,14,Region 4,11
r2_r4_g04,Round 2,Region 4,4,Region 4,5
r2_r4_g04,Round 2,Region 4,4,Region 4,12
r2_r4_g04,Round 2,Region 4,13,Region 4,5
r2_r4_g04,Round 2,Region 4,13,Region 4,12
r2_r1_g01,Round 2,Region 1,8,Region 1,1
r2_r1_g01,Round 2,Region 1,9,Region 1,1
r2_r1_g01,Round 2,Region 1,8,Region 1,16
r2_r1_g01,Round 2,Region 1,9,Region 1,16
r2_r1_g02,Round 2,Region 1,7,Region 1,2
r2_r1_g02,Round 2,Region 1,10,Region 1,2
r2_r1_g02,Round 2,Region 1,7,Region 1,15
r2_r1_g02,Round 2,Region 1,10,Region 1,15
r2_r1_g03,Round 2,Region 1,6,Region 1,3
r2_r1_g03,Round 2,Region 1,11,Region 1,3
r2_r1_g03,Round 2,Region 1,6,Region 1,14
r2_r1_g03,Round 2,Region 1,11,Region 1,14
r2_r1_g04,Round 2,Region 1,5,Region 1,4
r2_r1_g04,Round 2,Region 1,12,Region 1,4
r2_r1_g04,Round 2,Region 1,5,Region 1,13
r2_r1_g04,Round 2,Region 1,12,Region 1,13
r2_r2_g01,Round 2,Region 2,8,Region 2,1
r2_r2_g01,Round 2,Region 2,9,Region 2,1
r2_r2_g01,Round 2,Region 2,8,Region 2,16
r2_r2_g01,Round 2,Region 2,9,Region 2,16
r2_r2_g02,Round 2,Region 2,7,Region 2,2
r2_r2_g02,Round 2,Region 2,10,Region 2,2
r2_r2_g02,Round 2,Region 2,7,Region 2,15
r2_r2_g02,Round 2,Region 2,10,Region 2,15
r2_r2_g03,Round 2,Region 2,6,Region 2,3
r2_r2_g03,Round 2,Region 2,11,Region 2,3
r2_r2_g03,Round 2,Region 2,6,Region 2,14
r2_r2_g03,Round 2,Region 2,11,Region 2,14
r2_r2_g04,Round 2,Region 2,5,Region 2,4
r2_r2_g04,Round 2,Region 2,12,Region 2,4
r2_r2_g04,Round 2,Region 2,5,Region 2,13
r2_r2_g04,Round 2,Region 2,12,Region 2,13
r2_r3_g01,Round 2,Region 3,8,Region 3,1
r2_r3_g01,Round 2,Region 3,9,Region 3,1
r2_r3_g01,Round 2,Region 3,8,Region 3,16
r2_r3_g01,Round 2,Region 3,9,Region 3,16
r2_r3_g02,Round 2,Region 3,7,Region 3,2
r2_r3_g02,Round 2,Region 3,10,Region 3,2
r2_r3_g02,Round 2,Region 3,7,Region 3,15
r2_r3_g02,Round 2,Region 3,10,Region 3,15
r2_r3_g03,Round 2,Region 3,6,Region 3,3
r2_r3_g03,Round 2,Region 3,11,Region 3,3
r2_r3_g03,Round 2,Region 3,6,Region 3,14
r2_r3_g03,Round 2,Region 3,11,Region 3,14
r2_r3_g04,Round 2,Region 3,5,Region 3,4
r2_r3_g04,Round 2,Region 3,12,Region 3,4
r2_r3_g04,Round 2,Region 3,5,Region 3,13
r2_r3_g04,Round 2,Region 3,12,Region 3,13
r2_r4_g01,Round 2,Region 4,8,Region 4,1
r2_r4_g01,Round 2,Region 4,9,Region 4,1
r2_r4_g01,Round 2,Region 4,8,Region 4,16
r2_r4_g01,Round 2,Region 4,9,Region 4,16
r2_r4_g02,Round 2,Region 4,7,Region 4,2
r2_r4_g02,Round 2,Region 4,10,Region 4,2
r2_r4_g02,Round 2,Region 4,7,Region 4,15
r2_r4_g02,Round 2,Region 4,10,Region 4,15
r2_r4_g03,Round 2,Region 4,6,Region 4,3
r2_r4_g03,Round 2,Region 4,11,Region 4,3
r2_r4_g03,Round 2,Region 4,6,Region 4,14
r2_r4_g03,Round 2,Region 4,11,Region 4,14
r2_r4_g04,Round 2,Region 4,5,Region 4,4
r2_r4_g04,Round 2,Region 4,12,Region 4,4
r2_r4_g04,Round 2,Region 4,5,Region 4,13
r2_r4_g04,Round 2,Region 4,12,Region 4,13
r3_r1_g01,Sweet 16,Region 1,1,Region 1,4
r3_r1_g01,Sweet 16,Region 1,1,Region 1,13
r3_r1_g01,Sweet 16,Region 1,1,Region 1,5
r3_r1_g01,Sweet 16,Region 1,1,Region 1,12
r3_r1_g01,Sweet 16,Region 1,16,Region 1,4
r3_r1_g01,Sweet 16,Region 1,16,Region 1,13
r3_r1_g01,Sweet 16,Region 1,16,Region 1,5
r3_r1_g01,Sweet 16,Region 1,16,Region 1,12
r3_r1_g01,Sweet 16,Region 1,8,Region 1,4
r3_r1_g01,Sweet 16,Region 1,8,Region 1,13
r3_r1_g01,Sweet 16,Region 1,8,Region 1,5
r3_r1_g01,Sweet 16,Region 1,8,Region 1,12
r3_r1_g01,Sweet 16,Region 1,9,Region 1,4
r3_r1_g01,Sweet 16,Region 1,9,Region 1,13
r3_r1_g01,Sweet 16,Region 1,9,Region 1,5
r3_r1_g01,Sweet 16,Region 1,9,Region 1,12
r3_r1_g02,Sweet 16,Region 1,2,Region 1,3
r3_r1_g02,Sweet 16,Region 1,2,Region 1,14
r3_r1_g02,Sweet 16,Region 1,2,Region 1,6
r3_r1_g02,Sweet 16,Region 1,2,Region 1,11
